📊 خلاصه پوشه: Best_1h
تاریخ تولید,2026-06-28 07:21:04

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت
1,BTCUSDT,158,92,66,58.23,56.0732,56.0732,-14.00,7,-6.67,1.573,0.295,✅ عالی (≥۱%)
2,ETHUSDT,89,54,35,60.67,54.8055,54.8055,-8.00,4,-7.52,1.631,0.355,✅ عالی (≥۱%)
3,PAXGUSDT,61,30,31,49.18,-5.7399,-5.7399,-8.00,4,-9.59,0.725,-0.150,⚠️ منفی
4,SOLUSDT,66,44,22,66.67,61.6849,61.6849,-8.00,4,-3.95,1.701,0.494,✅ عالی (≥۱%)
5,XRPUSDT,90,63,27,70.00,83.4589,83.4589,-6.00,3,-3.76,2.066,0.556,✅ عالی (≥۱%)
6,BTCUSDT_ETHUSDT,247,146,101,59.11,110.8788,110.8788,-14.00,7,-7.52,1.614,0.316,✅ عالی (≥۱%)
7,BTCUSDT_PAXGUSDT,219,122,97,55.71,50.3333,50.3333,-14.00,7,-9.89,1.399,0.210,✅ عالی (≥۱%)
8,BTCUSDT_SOLUSDT,224,136,88,60.71,117.7581,117.7581,-14.00,7,-6.67,1.695,0.360,✅ عالی (≥۱%)
9,BTCUSDT_XRPUSDT,248,155,93,62.50,139.5321,139.5321,-14.00,7,-6.67,1.815,0.398,✅ عالی (≥۱%)
10,ETHUSDT_PAXGUSDT,150,84,66,56.00,49.0656,49.0656,-8.00,4,-10.50,1.482,0.228,✅ عالی (≥۱%)
11,ETHUSDT_SOLUSDT,155,98,57,63.23,116.4905,116.4905,-8.00,4,-7.52,1.677,0.417,✅ عالی (≥۱%)
12,ETHUSDT_XRPUSDT,179,117,62,65.36,138.2645,138.2645,-8.00,4,-7.52,1.793,0.453,✅ عالی (≥۱%)
13,PAXGUSDT_SOLUSDT,127,74,53,58.27,55.9450,55.9450,-8.00,4,-9.59,1.609,0.291,✅ عالی (≥۱%)
14,PAXGUSDT_XRPUSDT,151,93,58,61.59,77.7190,77.7190,-8.00,4,-9.59,1.804,0.358,✅ عالی (≥۱%)
15,SOLUSDT_XRPUSDT,156,107,49,68.59,145.1438,145.1438,-8.00,4,-3.95,1.856,0.529,✅ عالی (≥۱%)
16,BTCUSDT_ETHUSDT_PAXGUSDT,308,176,132,57.14,105.1388,105.1388,-14.00,7,-10.50,1.520,0.259,✅ عالی (≥۱%)
17,BTCUSDT_ETHUSDT_SOLUSDT,313,190,123,60.70,172.5637,172.5637,-14.00,7,-7.52,1.674,0.358,✅ عالی (≥۱%)
18,BTCUSDT_ETHUSDT_XRPUSDT,337,209,128,62.02,194.3377,194.3377,-14.00,7,-7.52,1.746,0.384,✅ عالی (≥۱%)
19,BTCUSDT_PAXGUSDT_SOLUSDT,285,166,119,58.25,112.0182,112.0182,-14.00,7,-9.89,1.590,0.291,✅ عالی (≥۱%)
20,BTCUSDT_PAXGUSDT_XRPUSDT,309,185,124,59.87,133.7922,133.7922,-14.00,7,-9.89,1.688,0.327,✅ عالی (≥۱%)
21,BTCUSDT_SOLUSDT_XRPUSDT,314,199,115,63.38,201.2171,201.2171,-14.00,7,-6.67,1.808,0.418,✅ عالی (≥۱%)
22,ETHUSDT_PAXGUSDT_SOLUSDT,216,128,88,59.26,110.7505,110.7505,-8.00,4,-10.50,1.627,0.319,✅ عالی (≥۱%)
23,ETHUSDT_PAXGUSDT_XRPUSDT,240,147,93,61.25,132.5245,132.5245,-8.00,4,-10.50,1.719,0.356,✅ عالی (≥۱%)
24,ETHUSDT_SOLUSDT_XRPUSDT,245,161,84,65.71,199.9494,199.9494,-8.00,4,-7.52,1.768,0.465,✅ عالی (≥۱%)
25,PAXGUSDT_SOLUSDT_XRPUSDT,217,137,80,63.13,139.4039,139.4039,-8.00,4,-9.59,1.804,0.403,✅ عالی (≥۱%)
26,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,374,220,154,58.82,166.8237,166.8237,-14.00,7,-10.50,1.612,0.307,✅ عالی (≥۱%)
27,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,398,239,159,60.05,188.5977,188.5977,-14.00,7,-10.50,1.675,0.333,✅ عالی (≥۱%)
28,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,403,253,150,62.78,256.0226,256.0226,-14.00,7,-7.52,1.754,0.403,✅ عالی (≥۱%)
29,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,375,229,146,61.07,195.4771,195.4771,-14.00,7,-9.89,1.733,0.360,✅ عالی (≥۱%)
30,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,306,191,115,62.42,194.2094,194.2094,-8.00,4,-10.50,1.739,0.388,✅ عالی (≥۱%)
31,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,464,283,181,60.99,250.2827,250.2827,-14.00,7,-10.50,1.707,0.358,✅ عالی (≥۱%)

ترکیب‌های با بازدهی مثبت,30/31
ترکیب‌های با بازدهی ≥۱٪,30/31
میانگین بازدهی ویژه,129.1781%
