📊 خلاصه پوشه: Best_30m
تاریخ تولید,2026-06-27 16:44:56

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت
1,BTCUSDT,364,242,122,66.48,152.6603,152.6603,-8.00,4,-3.33,1.518,0.401,✅ عالی (≥۱%)
2,ETHUSDT,292,201,91,68.84,158.7603,158.7603,-8.00,4,-3.49,1.647,0.480,✅ عالی (≥۱%)
3,PAXGUSDT,166,85,81,51.20,-11.4802,-11.4802,-14.00,7,-18.93,0.717,-0.126,⚠️ منفی
4,SOLUSDT,160,109,51,68.12,124.0257,124.0257,-8.00,4,-2.67,2.084,0.539,✅ عالی (≥۱%)
5,XRPUSDT,304,204,100,67.11,178.1268,178.1268,-12.00,6,-4.58,1.790,0.439,✅ عالی (≥۱%)
6,BTCUSDT_ETHUSDT,656,443,213,67.53,311.4206,311.4206,-8.00,4,-3.49,1.581,0.437,✅ عالی (≥۱%)
7,BTCUSDT_PAXGUSDT,530,327,203,61.70,141.1801,141.1801,-14.00,7,-19.53,1.338,0.282,✅ عالی (≥۱%)
8,BTCUSDT_SOLUSDT,524,351,173,66.98,276.6861,276.6861,-8.00,4,-3.33,1.713,0.444,✅ عالی (≥۱%)
9,BTCUSDT_XRPUSDT,668,446,222,66.77,330.7871,330.7871,-12.00,6,-4.58,1.649,0.417,✅ عالی (≥۱%)
10,ETHUSDT_PAXGUSDT,458,286,172,62.45,147.2800,147.2800,-14.00,7,-21.05,1.433,0.319,✅ عالی (≥۱%)
11,ETHUSDT_SOLUSDT,452,310,142,68.58,282.7860,282.7860,-8.00,4,-3.49,1.806,0.499,✅ عالی (≥۱%)
12,ETHUSDT_XRPUSDT,596,405,191,67.95,336.8871,336.8871,-12.00,6,-4.58,1.719,0.456,✅ عالی (≥۱%)
13,PAXGUSDT_SOLUSDT,326,194,132,59.51,112.5455,112.5455,-14.00,7,-18.93,1.612,0.298,✅ عالی (≥۱%)
14,PAXGUSDT_XRPUSDT,470,289,181,61.49,166.6466,166.6466,-14.00,7,-18.93,1.546,0.305,✅ عالی (≥۱%)
15,SOLUSDT_XRPUSDT,464,313,151,67.46,302.1526,302.1526,-12.00,6,-4.58,1.896,0.475,✅ عالی (≥۱%)
16,BTCUSDT_ETHUSDT_PAXGUSDT,822,528,294,64.23,299.9403,299.9403,-14.00,7,-21.05,1.473,0.356,✅ عالی (≥۱%)
17,BTCUSDT_ETHUSDT_SOLUSDT,816,552,264,67.65,435.4463,435.4463,-8.00,4,-3.49,1.689,0.457,✅ عالی (≥۱%)
18,BTCUSDT_ETHUSDT_XRPUSDT,960,647,313,67.40,489.5474,489.5474,-12.00,6,-4.58,1.649,0.436,✅ عالی (≥۱%)
19,BTCUSDT_PAXGUSDT_SOLUSDT,690,436,254,63.19,265.2058,265.2058,-14.00,7,-19.53,1.560,0.349,✅ عالی (≥۱%)
20,BTCUSDT_PAXGUSDT_XRPUSDT,834,531,303,63.67,319.3069,319.3069,-14.00,7,-19.53,1.533,0.344,✅ عالی (≥۱%)
21,BTCUSDT_SOLUSDT_XRPUSDT,828,555,273,67.03,454.8129,454.8129,-12.00,6,-4.58,1.742,0.442,✅ عالی (≥۱%)
22,ETHUSDT_PAXGUSDT_SOLUSDT,618,395,223,63.92,271.3058,271.3058,-14.00,7,-21.05,1.640,0.382,✅ عالی (≥۱%)
23,ETHUSDT_PAXGUSDT_XRPUSDT,762,490,272,64.30,325.4068,325.4068,-14.00,7,-21.05,1.595,0.370,✅ عالی (≥۱%)
24,ETHUSDT_SOLUSDT_XRPUSDT,756,514,242,67.99,460.9128,460.9128,-12.00,6,-4.58,1.800,0.474,✅ عالی (≥۱%)
25,PAXGUSDT_SOLUSDT_XRPUSDT,630,398,232,63.17,290.6723,290.6723,-14.00,7,-18.93,1.717,0.369,✅ عالی (≥۱%)
26,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,982,637,345,64.87,423.9661,423.9661,-14.00,7,-21.05,1.594,0.388,✅ عالی (≥۱%)
27,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,1126,732,394,65.01,478.0672,478.0672,-14.00,7,-21.05,1.569,0.379,✅ عالی (≥۱%)
28,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,1120,756,364,67.50,613.5732,613.5732,-12.00,6,-4.58,1.717,0.451,✅ عالی (≥۱%)
29,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,994,640,354,64.39,443.3326,443.3326,-14.00,7,-19.53,1.642,0.378,✅ عالی (≥۱%)
30,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,922,599,323,64.97,449.4326,449.4326,-14.00,7,-21.05,1.696,0.401,✅ عالی (≥۱%)
31,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,1286,841,445,65.40,602.0929,602.0929,-14.00,7,-21.05,1.645,0.400,✅ عالی (≥۱%)

ترکیب‌های با بازدهی مثبت,30/31
ترکیب‌های با بازدهی ≥۱٪,30/31
میانگین بازدهی ویژه,310.7576%
