📊 خلاصه پوشه: Dtsv
تاریخ تولید,2026-06-27 12:49:42

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت
1,BTCUSDT,12,4,8,33.33,-3.1364,-3.1364,-6.00,3,-3.14,0.694,-0.484,⚠️ منفی
2,ETHUSDT,9,4,5,44.44,-1.8715,-1.8715,-10.00,5,-3.00,0.471,-0.447,⚠️ منفی
3,SOLUSDT,2,1,1,50.00,-0.3000,-0.3000,-2.00,1,-0.60,0.500,-0.236,⚠️ منفی
4,XRPUSDT,7,6,1,85.71,4.0887,4.0887,-2.00,1,-0.60,1.302,0.575,✅ عالی (≥۱%)
5,BTCUSDT_ETHUSDT,21,8,13,38.10,-5.0079,-5.0079,-10.00,5,-5.01,0.582,-0.479,⚠️ منفی
6,BTCUSDT_SOLUSDT,14,5,9,35.71,-3.4365,-3.4365,-6.00,3,-3.44,0.655,-0.464,⚠️ منفی
7,BTCUSDT_XRPUSDT,19,10,9,52.63,0.9523,0.9523,-6.00,3,-3.14,1.059,0.060,👍 مثبت
8,ETHUSDT_SOLUSDT,11,5,6,45.45,-2.1715,-2.1715,-10.00,5,-3.30,0.476,-0.426,⚠️ منفی
9,ETHUSDT_XRPUSDT,16,10,6,62.50,2.2173,2.2173,-10.00,5,-3.00,0.969,0.166,✅ عالی (≥۱%)
10,SOLUSDT_XRPUSDT,9,7,2,77.78,3.7887,3.7887,-2.00,1,-0.60,1.187,0.436,✅ عالی (≥۱%)
11,BTCUSDT_ETHUSDT_SOLUSDT,23,9,14,39.13,-5.3079,-5.3079,-10.00,5,-5.31,0.573,-0.467,⚠️ منفی
12,BTCUSDT_ETHUSDT_XRPUSDT,28,14,14,50.00,-0.9192,-0.9192,-10.00,5,-5.01,0.891,-0.044,⚠️ منفی
13,BTCUSDT_SOLUSDT_XRPUSDT,21,11,10,52.38,0.6522,0.6522,-6.00,3,-3.44,1.008,0.038,👍 مثبت
14,ETHUSDT_SOLUSDT_XRPUSDT,18,11,7,61.11,1.9172,1.9172,-10.00,5,-3.30,0.927,0.133,✅ عالی (≥۱%)
15,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,30,15,15,50.00,-1.2192,-1.2192,-10.00,5,-5.31,0.865,-0.056,⚠️ منفی

ترکیب‌های با بازدهی مثبت,6/15
ترکیب‌های با بازدهی ≥۱٪,4/15
میانگین بازدهی ویژه,-0.6502%
