📊 خلاصه پوشه: Ttt3
تاریخ تولید,2026-06-27 12:36:34

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت
1,BTCUSDT,7931,3705,4222,46.72,-404.2004,-404.2004,-26.00,13,-406.99,0.940,-0.082,⚠️ منفی
2,ETHUSDT,7879,3747,4131,47.56,-204.8235,-204.8235,-30.00,15,-224.91,1.003,-0.040,⚠️ منفی
3,SOLUSDT,4005,1830,2175,45.69,-144.0041,-144.0041,-24.00,12,-186.57,1.045,-0.054,⚠️ منفی
4,XRPUSDT,6302,2893,3406,45.91,-303.6607,-303.6607,-30.00,15,-316.82,0.986,-0.075,⚠️ منفی
5,BTCUSDT_ETHUSDT,15810,7452,8353,47.13,-609.0239,-609.0239,-30.00,15,-613.01,0.972,-0.061,⚠️ منفی
6,BTCUSDT_SOLUSDT,11936,5535,6397,46.37,-548.2045,-548.2045,-26.00,13,-551.60,0.975,-0.072,⚠️ منفی
7,BTCUSDT_XRPUSDT,14233,6598,7628,46.36,-707.8610,-707.8610,-30.00,15,-717.21,0.960,-0.079,⚠️ منفی
8,ETHUSDT_SOLUSDT,11884,5577,6306,46.93,-348.8276,-348.8276,-30.00,15,-368.33,1.017,-0.045,⚠️ منفی
9,ETHUSDT_XRPUSDT,14181,6640,7537,46.82,-508.4842,-508.4842,-30.00,15,-533.94,0.995,-0.055,⚠️ منفی
10,SOLUSDT_XRPUSDT,10307,4723,5581,45.82,-447.6648,-447.6648,-30.00,15,-496.18,1.009,-0.067,⚠️ منفی
11,BTCUSDT_ETHUSDT_SOLUSDT,19815,9282,10528,46.84,-753.0280,-753.0280,-30.00,15,-756.43,0.986,-0.059,⚠️ منفی
12,BTCUSDT_ETHUSDT_XRPUSDT,22112,10345,11759,46.78,-912.6845,-912.6845,-30.00,15,-922.04,0.976,-0.065,⚠️ منفی
13,BTCUSDT_SOLUSDT_XRPUSDT,18238,8428,9803,46.21,-851.8651,-851.8651,-30.00,15,-861.22,0.979,-0.073,⚠️ منفی
14,ETHUSDT_SOLUSDT_XRPUSDT,18186,8470,9712,46.57,-652.4883,-652.4883,-30.00,15,-677.94,1.006,-0.055,⚠️ منفی
15,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,26117,12175,13934,46.62,-1056.6886,-1056.6886,-30.00,15,-1066.04,0.986,-0.063,⚠️ منفی

ترکیب‌های با بازدهی مثبت,0/15
ترکیب‌های با بازدهی ≥۱٪,0/15
میانگین بازدهی ویژه,-563.5673%
