رتبه,پوشه,گروه,نوع,تعداد نمادها,بازده واقعی(%),وین‌ریت(%),حداکثر ضرر متوالی(%),شارپ,کل معاملات,امتیاز,وضعیت
1,Dtsv_XRPUSDT,aggregated,اصلی,1,4.0887%,85.71,-2.00,0.575,7,100.0/100,عالی ★★★★★
2,Dtsv_SOLUSDT_XRPUSDT,aggregated,اصلی,1,3.7887%,77.78,-2.00,0.436,9,100.0/100,عالی ★★★★★
3,Best_15m_BTCUSDT,aggregated,اصلی,1,362.3010%,67.72,-12.00,0.392,1047,94.0/100,عالی ★★★★★
4,Best_15m_SOLUSDT,aggregated,اصلی,1,265.0312%,65.39,-12.00,0.350,497,94.0/100,عالی ★★★★★
5,Best_15m_BTCUSDT_ETHUSDT,aggregated,اصلی,1,698.1750%,67.17,-12.00,0.390,1974,94.0/100,عالی ★★★★★
6,Best_15m_BTCUSDT_SOLUSDT,aggregated,اصلی,1,627.3322%,66.97,-12.00,0.359,1544,94.0/100,عالی ★★★★★
7,Best_15m_BTCUSDT_XRPUSDT,aggregated,اصلی,1,783.6144%,68.00,-12.00,0.383,1922,94.0/100,عالی ★★★★★
8,Best_15m_ETHUSDT_SOLUSDT,aggregated,اصلی,1,600.9052%,66.15,-12.00,0.358,1424,94.0/100,عالی ★★★★★
9,Best_15m_SOLUSDT_XRPUSDT,aggregated,اصلی,1,686.3447%,67.27,-12.00,0.370,1372,94.0/100,عالی ★★★★★
10,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,963.2062%,66.82,-12.00,0.367,2471,94.0/100,عالی ★★★★★
11,Best_15m_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,1119.4884%,67.53,-12.00,0.384,2849,94.0/100,عالی ★★★★★
12,Best_15m_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1048.6456%,67.47,-12.00,0.369,2419,94.0/100,عالی ★★★★★
13,Best_15m_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1022.2186%,66.99,-12.00,0.370,2299,94.0/100,عالی ★★★★★
14,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1384.5196%,67.21,-12.00,0.372,3346,94.0/100,عالی ★★★★★
15,Best_1h_XRPUSDT,aggregated,اصلی,1,83.4589%,70.00,-6.00,0.556,90,94.0/100,عالی ★★★★★
16,Best_30m_XRPUSDT,aggregated,اصلی,1,178.1268%,67.11,-12.00,0.439,304,94.0/100,عالی ★★★★★
17,Best_30m_BTCUSDT_XRPUSDT,aggregated,اصلی,1,330.7871%,66.77,-12.00,0.417,668,94.0/100,عالی ★★★★★
18,Best_30m_ETHUSDT_XRPUSDT,aggregated,اصلی,1,336.8871%,67.95,-12.00,0.456,596,94.0/100,عالی ★★★★★
19,Best_30m_SOLUSDT_XRPUSDT,aggregated,اصلی,1,302.1526%,67.46,-12.00,0.475,464,94.0/100,عالی ★★★★★
20,Best_30m_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,489.5474%,67.40,-12.00,0.436,960,94.0/100,عالی ★★★★★
21,Best_30m_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,454.8129%,67.03,-12.00,0.442,828,94.0/100,عالی ★★★★★
22,Best_30m_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,460.9128%,67.99,-12.00,0.474,756,94.0/100,عالی ★★★★★
23,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,613.5732%,67.50,-12.00,0.451,1120,94.0/100,عالی ★★★★★
24,Best_5m_SOLUSDT,aggregated,اصلی,1,820.9103%,70.64,-12.00,0.346,2878,94.0/100,عالی ★★★★★
25,Best_1h_BTCUSDT,aggregated,اصلی,1,56.0732%,58.23,-14.00,0.295,158,88.0/100,عالی ★★★★★
26,Best_1h_BTCUSDT_ETHUSDT,aggregated,اصلی,1,110.8788%,59.11,-14.00,0.316,247,88.0/100,عالی ★★★★★
27,Best_1h_BTCUSDT_PAXGUSDT,aggregated,اصلی,1,50.3333%,55.71,-14.00,0.210,219,88.0/100,عالی ★★★★★
28,Best_1h_BTCUSDT_SOLUSDT,aggregated,اصلی,1,117.7581%,60.71,-14.00,0.360,224,88.0/100,عالی ★★★★★
29,Best_1h_BTCUSDT_XRPUSDT,aggregated,اصلی,1,139.5321%,62.50,-14.00,0.398,248,88.0/100,عالی ★★★★★
30,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,105.1388%,57.14,-14.00,0.259,308,88.0/100,عالی ★★★★★
31,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,172.5637%,60.70,-14.00,0.358,313,88.0/100,عالی ★★★★★
