رتبه,پوشه,گروه,نوع,تعداد نمادها,بازده ویژه(%),وین‌ریت(%),حداکثر ضرر متوالی(%),شارپ,کل معاملات,امتیاز,وضعیت
1,Dtsv_XRPUSDT,aggregated,اصلی,1,4.0887%,85.71,-2.00,0.575,7,100.0/100,عالی ★★★★★
2,Dtsv_SOLUSDT_XRPUSDT,aggregated,اصلی,1,3.7887%,77.78,-2.00,0.436,9,100.0/100,عالی ★★★★★
3,Dtsv_ETHUSDT_XRPUSDT,aggregated,اصلی,1,2.2173%,62.50,-10.00,0.166,16,70.0/100,خوب ★★★★
4,Dtsv_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1.9172%,61.11,-10.00,0.133,18,70.0/100,خوب ★★★★
5,Dtsv_BTCUSDT_XRPUSDT,aggregated,اصلی,1,0.9523%,52.63,-6.00,0.060,19,54.0/100,متوسط ★★★
6,Dtsv_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,0.6522%,52.38,-6.00,0.038,21,54.0/100,متوسط ★★★
7,Dtsv_BTCUSDT_INV,aggregated,معکوس,1,-3.1984%,66.67,-4.00,-0.208,12,30.0/100,ضعیف ★★
8,Dtsv_SOLUSDT,aggregated,اصلی,1,-0.3000%,50.00,-2.00,-0.236,2,30.0/100,ضعیف ★★
9,Dtsv_SOLUSDT_INV,aggregated,معکوس,1,-1.3998%,50.00,-2.00,-0.381,2,30.0/100,ضعیف ★★
10,Dtsv_BTCUSDT_SOLUSDT_INV,aggregated,معکوس,1,-4.5982%,64.29,-4.00,-0.254,14,30.0/100,ضعیف ★★
11,Dtsv_BTCUSDT,aggregated,اصلی,1,-3.1364%,33.33,-6.00,-0.484,12,24.0/100,ضعیف ★★
12,Dtsv_BTCUSDT_SOLUSDT,aggregated,اصلی,1,-3.4365%,35.71,-6.00,-0.464,14,24.0/100,ضعیف ★★
13,Dtsv_ETHUSDT_INV,aggregated,معکوس,1,-4.9990%,55.56,-8.00,-0.405,9,12.0/100,بسیار ضعیف ★
14,Dtsv_BTCUSDT_ETHUSDT_INV,aggregated,معکوس,1,-8.1974%,61.90,-8.00,-0.302,21,12.0/100,بسیار ضعیف ★
15,Dtsv_ETHUSDT_SOLUSDT_INV,aggregated,معکوس,1,-6.3988%,54.55,-8.00,-0.428,11,12.0/100,بسیار ضعیف ★
16,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT_INV,aggregated,معکوس,1,-9.5972%,60.87,-8.00,-0.322,23,12.0/100,بسیار ضعیف ★
17,Ttt3_SOLUSDT_INV,aggregated,معکوس,1,-2466.8813%,54.31,-18.00,-0.485,4005,2.0/100,بسیار ضعیف ★
18,Dtsv_ETHUSDT,aggregated,اصلی,1,-1.8715%,44.44,-10.00,-0.447,9,0.0/100,بسیار ضعیف ★
19,Dtsv_XRPUSDT_INV,aggregated,معکوس,1,-11.3998%,14.29,-10.00,-1.657,7,0.0/100,بسیار ضعیف ★
20,Dtsv_BTCUSDT_ETHUSDT,aggregated,اصلی,1,-5.0079%,38.10,-10.00,-0.479,21,0.0/100,بسیار ضعیف ★
21,Dtsv_BTCUSDT_XRPUSDT_INV,aggregated,معکوس,1,-14.5982%,47.37,-10.00,-0.576,19,0.0/100,بسیار ضعیف ★
22,Dtsv_ETHUSDT_SOLUSDT,aggregated,اصلی,1,-2.1715%,45.45,-10.00,-0.426,11,0.0/100,بسیار ضعیف ★
23,Dtsv_ETHUSDT_XRPUSDT_INV,aggregated,معکوس,1,-16.3988%,37.50,-10.00,-0.788,16,0.0/100,بسیار ضعیف ★
24,Dtsv_SOLUSDT_XRPUSDT_INV,aggregated,معکوس,1,-12.7996%,22.22,-10.00,-1.240,9,0.0/100,بسیار ضعیف ★
25,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,-5.3079%,39.13,-10.00,-0.467,23,0.0/100,بسیار ضعیف ★
26,Dtsv_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,-0.9192%,50.00,-10.00,-0.044,28,0.0/100,بسیار ضعیف ★
27,Dtsv_BTCUSDT_ETHUSDT_XRPUSDT_INV,aggregated,معکوس,1,-19.5972%,50.00,-10.00,-0.529,28,0.0/100,بسیار ضعیف ★
28,Dtsv_BTCUSDT_SOLUSDT_XRPUSDT_INV,aggregated,معکوس,1,-15.9980%,47.62,-10.00,-0.572,21,0.0/100,بسیار ضعیف ★
29,Dtsv_ETHUSDT_SOLUSDT_XRPUSDT_INV,aggregated,معکوس,1,-17.7986%,38.89,-10.00,-0.758,18,0.0/100,بسیار ضعیف ★
30,Dtsv_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,-1.2192%,50.00,-10.00,-0.056,30,0.0/100,بسیار ضعیف ★
