گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Best_15m_BTCUSDT,BTCUSDT,1047,709,338,67.72,-12.00,6,-5.03,1.318,0.392,362.3010,362.3010,اصلی
aggregated,Best_15m_BTCUSDT_INV,BTCUSDT,1047,338,709,32.28,-44.00,22,-1213.82,0.304,-0.949,-1212.6216,-1212.6216,معکوس
aggregated,Best_15m_ETHUSDT,ETHUSDT,927,617,310,66.56,-10.00,5,-6.24,1.380,0.387,335.8740,335.8740,اصلی
aggregated,Best_15m_ETHUSDT_INV,ETHUSDT,927,310,617,33.44,-38.00,19,-1042.20,0.310,-0.907,-1041.5992,-1041.5992,معکوس
aggregated,Best_15m_PAXGUSDT,PAXGUSDT,424,224,200,52.83,-20.00,10,-38.06,0.604,-0.174,-36.5455,-36.5455,اصلی
aggregated,Best_15m_PAXGUSDT_INV,PAXGUSDT,424,200,224,47.17,-20.00,10,-335.90,0.282,-0.615,-335.1733,-335.1733,معکوس
aggregated,Best_15m_SOLUSDT,SOLUSDT,497,325,172,65.39,-12.00,6,-3.84,1.734,0.350,265.0312,265.0312,اصلی
aggregated,Best_15m_SOLUSDT_INV,SOLUSDT,497,172,325,34.61,-28.00,14,-534.15,0.339,-0.833,-533.5494,-533.5494,معکوس
aggregated,Best_15m_XRPUSDT,XRPUSDT,875,598,277,68.34,-8.00,4,-5.58,1.560,0.387,421.3134,421.3134,اصلی
aggregated,Best_15m_XRPUSDT_INV,XRPUSDT,875,277,598,31.66,-28.00,14,-1018.62,0.321,-0.941,-1018.0216,-1018.0216,معکوس
aggregated,Best_15m_BTCUSDT_ETHUSDT,BTCUSDT_ETHUSDT,1974,1326,648,67.17,-12.00,6,-6.24,1.346,0.390,698.1750,698.1750,اصلی
aggregated,Best_15m_BTCUSDT_ETHUSDT_INV,BTCUSDT_ETHUSDT,1974,648,1326,32.83,-44.00,22,-2254.82,0.307,-0.929,-2254.2208,-2254.2208,معکوس
aggregated,Best_15m_BTCUSDT_PAXGUSDT,BTCUSDT_PAXGUSDT,1471,933,538,63.43,-20.00,10,-39.23,1.167,0.272,325.7555,325.7555,اصلی
aggregated,Best_15m_BTCUSDT_PAXGUSDT_INV,BTCUSDT_PAXGUSDT,1471,538,933,36.57,-44.00,22,-1547.93,0.296,-0.842,-1547.7949,-1547.7949,معکوس
aggregated,Best_15m_BTCUSDT_SOLUSDT,BTCUSDT_SOLUSDT,1544,1034,510,66.97,-12.00,6,-5.03,1.455,0.359,627.3322,627.3322,اصلی
